t,n,EB_nodal
t0001,n1,-25.758442
t0001,n2,-25.758442
t0001,n3,-25.758442
t0001,n4,-25.758442
t0001,n5,-25.758442
t0001,n6,-25.758442
t0001,n7,-25.758442
t0001,n8,-25.758442
t0001,n9,-25.758442
t0001,n10,-25.758442
t0001,n11,-25.758442
t0001,n12,-25.758442
t0001,n13,-25.758442
t0001,n14,-25.758442
t0001,n15,-25.758442
t0001,n16,-25.758442
t0001,n17,-25.758442
t0001,n18,-25.758442
t0001,n19,-25.758442
t0001,n20,-25.758442
t0001,n21,-25.758442
t0001,n22,-25.758442
t0001,n23,-25.758442
t0001,n24,-25.758442
t0001,n25,-25.758442
t0001,n26,-25.758442
t0001,n27,-25.758442
t0001,n28,-25.758442
t0001,n29,-25.758442
t0001,n30,-25.758442
t0001,n31,-25.758442
t0001,n32,-25.758442
t0001,n33,-25.758442
t0001,n34,-25.758442
t0001,n35,-25.758442
t0001,n36,-25.758442
t0001,n37,-25.758442
t0001,n38,-25.758442
t0001,n39,-25.758442
t0001,n40,-25.758442
t0001,n41,-25.758442
t0001,n42,-25.758442
t0001,n43,-25.758442
t0001,n44,-25.758442
t0001,n45,-25.758442
t0001,n46,-25.758442
t0001,n47,-25.758442
t0001,n48,-25.758442
t0001,n49,-25.758442
t0001,n50,-25.758442
t0001,n51,-25.758442
t0001,n52,-25.758442
t0001,n53,-25.758442
t0001,n54,-25.758442
t0001,n55,-25.758442
t0001,n56,-25.758442
t0001,n57,-25.758442
t0001,n58,-25.758442
t0001,n59,-25.758442
t0001,n60,-25.758442
t0001,n61,-25.758442
t0001,n62,-25.758442
t0001,n63,-25.758442
t0001,n64,-25.758442
t0001,n65,-25.758442
t0001,n66,-25.758442
t0001,n67,-25.758442
t0001,n68,-25.758442
t0001,n69,-25.758442
t0001,n70,-25.758442
t0001,n71,-25.758442
t0001,n72,-25.758442
t0001,n73,-25.758442
t0001,n74,-25.758442
t0001,n75,-25.758442
t0001,n76,-25.758442
t0001,n77,-25.758442
t0001,n78,-25.758442
t0001,n79,-25.758442
t0001,n80,-25.758442
t0001,n81,-25.758442
t0001,n82,-25.758442
t0001,n83,-25.758442
t0001,n84,-25.758442
t0001,n85,-25.758442
t0001,n86,-25.758442
t0001,n87,-25.758442
t0001,n88,-25.758442
t0001,n89,-25.758442
t0001,n90,-25.758442
t0001,n91,-25.758442
t0001,n92,-25.758442
t0001,n93,-25.758442
t0001,n94,-25.758442
t0001,n95,-25.758442
t0001,n96,-25.758442
t0001,n97,-25.758442
t0001,n98,-25.758442
t0001,n99,-25.758442
t0001,n100,-25.758442
t0001,n101,-25.758442
t0001,n102,-25.758442
t0001,n103,-25.758442
t0001,n104,-25.758442
t0001,n105,-25.758442
t0001,n106,-25.758442
t0001,n107,-25.758442
t0001,n108,-25.758442
t0001,n109,-25.758442
t0001,n110,-25.758442
t0001,n111,-25.758442
t0001,n112,-25.758442
t0001,n113,-25.758442
t0001,n114,-25.758442
t0001,n115,-25.758442
t0001,n116,-25.758442
t0001,n117,-25.758442
t0001,n118,-25.758442
